file: mc.csv

call: ml
0.5708438170881452 max= 10
0.6557749220683432 max= 20
0.6974507438303834 max= 30
0.718686990777179 max= 35
0.7230112033543893 max= 36
0.7190012264966407 max= 37
0.7201076197355563 max= 38
0.7208431059473114 max= 39
0.7211487848905309 max= 40
0.7240415293537916 max= 41
0.7255481136217716 max= 42
0.725147852865028 max= 43
0.7170895954832879 max= 44
0.713385250671637 max= 45
0.7076530332616486 max= 50
0.6643336066019315 max= 60
0.670295536936592 max= 70
0.6515129880017221 max= 80
0.6428017779231436 max= 90
0.6239427406813316 max= 100
0.6189110355504588 max= 110
0.6364318291460087 max= 120
0.6311142851698353 max= 130
0.6396657349785893 max= 140
0.6471400107018253 max= 150
0.6571037657315039 max= 160
0.6553787811865555 max= 170
0.6453338812135994 max= 180
0.6421305527445887 max= 190
0.6370757685299545 max= 200
0.6434923605456575 max= 210
0.6483079536510497 max= 220
0.655266062417402 max= 230
0.6638561307828156 max= 240
0.6721273058616083 max= 250
0.6835385686193082 max= 260
0.6900990006419384 max= 270
0.6966495732760677 max= 280
0.7058904645633471 max= 290
0.7189816709173731 max= 300
0.7285624160083418 max= 310
0.7273067568924813 max= 320
0.7221425613835836 max= 330
0.7155916800252917 max= 340
0.7090922184102451 max= 350
0.6993625285569453 max= 360
0.6916037814058891 max= 370
0.6788652558345183 max= 380
0.6714344770962601 max= 390
0.6652596510631203 max= 400
0.6633936025257482 max= 410
0.6664956577222375 max= 420
0.6693206179846751 max= 430
0.6688007974116821 max= 440
0.6731183824469583 max= 450
0.6745861994453636 max= 460
0.6783252110406028 max= 470
0.6828682444955745 max= 480
0.696328447019092 max= 490
0.7061644424514877 max= 500
0.7142213459130392 max= 510
0.7187715839833647 max= 520
0.7233556772141132 max= 530
0.7274113408282408 max= 540
0.7308019726891386 max= 550
0.7330509488222798 max= 560
0.7350330473426212 max= 565
0.7356842609531944 max= 566
0.7356072558789487 max= 567
0.7357656496507803 max= 568
0.736175446633343 max = 569
0.736628071967737 max= 570 <- max
0.7365973068965289 max= 571
0.7365665858042668 max= 572
0.7365359086198322 max= 573
0.7365359086198322 max= 574
0.7365359086198322 max= 575
0.7365359086198322 max= 580
0.7365359086198322 max= 600
0.7365359086198322 max= 700
0.7365359086198322 max= 800
0.7365359086198322 max= 900
0.7365359086198322 max= 1000

call: sp
nan

call:rel_hom
nan

call: rel_spc
0.4402657848380839 max= 20
0.44010602750281486 max= 40
0.44010602750281486 max= 60
0.44010602750281486 max= 80

call: sl
0.14630777227136577 max= 100
0.164042204362151 max= 200
0.22611923213646828 max= 300
0.26168071963425693 max= 400
0.23750517552139758 max= 500
0.22124130013598162 max= 600
0.1757679455143822 max= 700
0.1848800002044564 max= 800
0.20263178829315381 max= 900
0.22758792319929713 max= 1000

call: rel_trg
0.30899416488804454 max= 10
0.4786316652949702 max= 20
0.5326301116464888 max= 30
0.5350368615596046 max= 40
0.5446039597249838 max= 50
0.5774151907346404 max= 100
0.5852127841801317 max= 200
0.5852127841801317 max= 300
0.5852127841801317 max= 400
0.5852127841801317 max= 500
0.5852127841801317 max= 600
0.5852127841801317 max= 700
0.5852127841801317 max= 800
0.5852127841801317 max= 900
0.5852127841801317 max= 1000
