S1,S2,human_sim,std,sim
Would you like to go out to drink with me tonight?,I really don’t know what to eat tonight so I might go out somewhere.,1.01,0.77,0.2
I advise you to treat this matter very seriously as it is vital.,"You must take this most seriously, it will affect you.",3.38,0.69,0.1111111111111111
When I was going out to meet my friends there was a delay at the train station.,The train operator announced to the passengers that the train would be delayed.,3.13,0.68,0.1
"Does music help you to relax, or does it distract you too much?",Does this sponge look wet or dry to you?,0.1,0.29,0.0
You must realise that you will definitely be punished if you play with the alarm.,He will be harshly punished for setting the fire alarm off.,2.84,0.87,0.2222222222222222
I will make you laugh so much that your sides ache.,When I tell you this you will split your sides laughing.,3.75,0.38,0.125
You shouldn’t be covering what you really feel.,"There is no point in covering up what you said, we all know.",2.21,0.97,0.0
Do you want to come with us to the pub behind the hill?,We are going out for drinks tonight in Salford Quays if you would like to come.,1.82,1.09,0.08333333333333333
"This key doesn’t seem to be working, could you give me another?","I dislike the word quay, it confuses me, I always think of things for locks, there’s another one.",0.72,0.87,0.07142857142857142
The ghost appeared from nowhere and frightened the old man.,"The ghost of Queen Victoria appears to me every night, I don’t know why, I don’t even like the royals.",1.45,0.75,0.06666666666666667
You’re not a good friend if you’re not prepared to be present when I need you.,A good friend always seems to be present when you need them.,3.14,0.94,0.375
The children crossed the road very safely thanks to the help of the lollipop lady.,"It was feared that the child might not recover, because he was seriously ill.",0.13,0.29,0.07692307692307693
I have invited a variety of people to my party so it should be interesting.,A number of invitations were given out to a variety of people inviting them down the pub.,2.18,0.88,0.2
"I offer my condolences to the parents of John Smith, who was unfortunately murdered.",I express my sympathy to John Smith’s parents following his murder.,3.91,0.23,0.2727272727272727
Boats come in all shapes and sizes but they all do the same thing.,"Chairs can be comfy and not comfy, depending on the chair.",0.5,0.69,0.0
"If you continuously use these products, I guarantee you will look very young.","I assure you that, by using these products consistently over a long period of time, you will appear really young.",3.58,0.57,0.14285714285714285
We ran farther than the other children that day.,You ran farther than anyone today.,2.43,1.06,0.3333333333333333
I always like to have a slice of lemon in my drink especially if it’s Coke.,"I like to put a wedge of lemon in my drinks, especially cola.",3.81,0.55,0.4
"It seems like I’ve got eczema on my ear doctor, can you recommend something for me?",I had to go to a chemist for a special rash cream for my ear.,2.05,0.9,0.07692307692307693
"I am proud of our nation, well, most of it.",I think of myself as being part of a nation.,1.71,1.03,0.1
There was a heap of rubble left by the builders outside my house this morning.,"Sometimes in a large crowd accidents may happen, which can cause deadly injuries.",0.09,0.27,0.0
"Water freezes at a certain temperature, which is zero degrees Celsius.",The temperature of boiling water is 100 C and the temperature of ice is 0 C.,3.08,0.98,0.1875
"We got home safely in the end, although it was a long journey.","Though it took many hours travel, we finally reached our house safely.",3.06,0.95,0.06666666666666667
A man called Dave gave his fianc´ee a large diamond ring for their engagement.,The man presented a diamond to the woman and asked her to marry him.,3.22,0.73,0.15384615384615385
"I used to run quite a lot, in fact once I ran for North Tyneside.",I used to climb lots at school as we had a new climbing wall put in the gym.,0.74,0.75,0.13333333333333333
I love to laugh as it makes me happy as well as those around me.,I thought we bargained that it would only cost me a pound.,0.08,0.32,0.0
Because I am the eldest one I should be more responsible.,"Just because of my age, people shouldn’t think I’m a responsible adult, but they do?",2.23,0.79,0.2857142857142857
I need to dash into the kitchen because I think my chip pan is on fire.,In the event of a chip pan fire follow the instructions on the safety note.,1.7,1.03,0.25
"Peter was a very large youth, whose size intimidated most people, much to his delight.","Now I wouldn’t say he was fat, but I’d certainly say he was one of the larger boys.",1.96,0.95,0.0
"I’m going to buy a grey jumper today, in half an hour.","That’s a nice grey top, where did you get it from?",1.25,0.98,0.1
"We got soaked in the rain today, but now we are nice and dry.","I was absolutely soaking wet last night, I drove my bike through the worst weather.",1.68,0.75,0.0
Global warming is what everyone is worrying about today.,The problem of global warming is a concern to every country in the world at the moment.,3.14,0.84,0.18181818181818182
He was harshly punished for setting the fire alarms off.,"He delayed his response, in order to create a tense atmosphere.",0.22,0.6,0.0
"That’s not a very good car, on the other hand mine is great.",This is a terrible noise level for a new car.,1.05,0.95,0.1111111111111111
"There was a terrible accident, a pileup, on the M16 today.","It was a terrible accident, no one believed it was possible.",2.33,0.93,0.2857142857142857
After hours of getting lost we eventually arrived at the hotel.,After walking against the strong wind for hours he finally returned home safely.,1.09,0.91,0.07692307692307693
The first thing I do in a morning is make myself a cup of coffee.,The first thing I do in the morning is have a cup of coffee.,3.85,0.39,0.8333333333333334
"Someone spilt a drink accidentally on my shirt, so I changed it.","It appears to have shrunk, it wasn’t that size before I washed it.",0.48,0.72,0.0
"I’m worried most seriously about the presentation, not the essay.",It is mostly very difficult to gain full marks in today’s exam.,0.77,0.82,0.0
It is mostly very difficult to gain full marks in today’s exam.,"The exam was really difficult, I’ve got no idea if I’m going to pass.",2.54,0.98,0.16666666666666666
Meet me on the hill behind the church in half an hour.,Join me on the hill at the back of the church in thirty minutes time.,3.93,0.25,0.18181818181818182
"If you don’t console with a friend, there is a chance you may hurt their feelings.",One of the qualities of a good friend is the ability to console.,3.01,0.85,0.2
"We tried to bargain with him but it made no difference, he still didn’t change his mind.","I tried bargaining with him, but he just wouldn’t listen.",3.43,0.54,0.08333333333333333
It gives me great pleasure to announce the winner of this year’s beauty pageant.,It’s a real pleasure to tell you who has won our annual beauty parade.,3.88,0.24,0.16666666666666666
They said they were hoping to go to America on holiday.,"I like to cover myself up in lots of layers, I don’t like the cold.",0.16,0.5,0.0
Will I have to drive far to get to the nearest petrol station?,Is it much farther for me to drive to the next gas station?,3.84,0.37,0.2
I think I know her from somewhere because she has a familiar face.,"You have a very familiar face, where do I know you from?",3.36,0.8,0.25
I am sorry but I can’t go out as I have a heap of work to do.,I’ve a heap of things to finish so I can’t go out I’m afraid.,3.6,0.72,0.2857142857142857
The responsible man felt very guilty when he crashed into the back of someone’s car.,A slow driver can be annoying even though they are driving safely.,0.88,0.75,0.0
Get that wet dog off my brand new white sofa.,Make that wet hound get off my white couch – I only just bought it.,3.59,0.86,0.2727272727272727
He fought in the war in Iraq before being killed in a car crash.,The prejudice I suffered whilst on holiday in Iraq was quite alarming.,0.55,0.65,0.08333333333333333
The cat was hungry so he went into the back garden to find lunch.,The hen walked about in the yard eating tasty grain.,1.2,0.82,0.0
