S1,S2,human_sim,std,sim
Would you like to go out to drink with me tonight?,I really don’t know what to eat tonight so I might go out somewhere.,1.01,0.77,0.9731338024139404
I advise you to treat this matter very seriously as it is vital.,"You must take this most seriously, it will affect you.",3.38,0.69,0.9828349351882935
When I was going out to meet my friends there was a delay at the train station.,The train operator announced to the passengers that the train would be delayed.,3.13,0.68,0.9378829598426819
"Does music help you to relax, or does it distract you too much?",Does this sponge look wet or dry to you?,0.1,0.29,0.9244281053543091
You must realise that you will definitely be punished if you play with the alarm.,He will be harshly punished for setting the fire alarm off.,2.84,0.87,0.9183898568153381
I will make you laugh so much that your sides ache.,When I tell you this you will split your sides laughing.,3.75,0.38,0.9861235618591309
You shouldn’t be covering what you really feel.,"There is no point in covering up what you said, we all know.",2.21,0.97,0.9500149488449097
Do you want to come with us to the pub behind the hill?,We are going out for drinks tonight in Salford Quays if you would like to come.,1.82,1.09,0.9650979042053223
"This key doesn’t seem to be working, could you give me another?","I dislike the word quay, it confuses me, I always think of things for locks, there’s another one.",0.72,0.87,0.9664826989173889
The ghost appeared from nowhere and frightened the old man.,"The ghost of Queen Victoria appears to me every night, I don’t know why, I don’t even like the royals.",1.45,0.75,0.9384680986404419
You’re not a good friend if you’re not prepared to be present when I need you.,A good friend always seems to be present when you need them.,3.14,0.94,0.9943436980247498
The children crossed the road very safely thanks to the help of the lollipop lady.,"It was feared that the child might not recover, because he was seriously ill.",0.13,0.29,0.9124305248260498
I have invited a variety of people to my party so it should be interesting.,A number of invitations were given out to a variety of people inviting them down the pub.,2.18,0.88,0.9586065411567688
"I offer my condolences to the parents of John Smith, who was unfortunately murdered.",I express my sympathy to John Smith’s parents following his murder.,3.91,0.23,0.9784515500068665
Boats come in all shapes and sizes but they all do the same thing.,"Chairs can be comfy and not comfy, depending on the chair.",0.5,0.69,0.9130481481552124
"If you continuously use these products, I guarantee you will look very young.","I assure you that, by using these products consistently over a long period of time, you will appear really young.",3.58,0.57,0.973429799079895
We ran farther than the other children that day.,You ran farther than anyone today.,2.43,1.06,0.9505068063735962
I always like to have a slice of lemon in my drink especially if it’s Coke.,"I like to put a wedge of lemon in my drinks, especially cola.",3.81,0.55,0.9899079203605652
"It seems like I’ve got eczema on my ear doctor, can you recommend something for me?",I had to go to a chemist for a special rash cream for my ear.,2.05,0.9,0.9466559290885925
"I am proud of our nation, well, most of it.",I think of myself as being part of a nation.,1.71,1.03,0.9831932783126831
There was a heap of rubble left by the builders outside my house this morning.,"Sometimes in a large crowd accidents may happen, which can cause deadly injuries.",0.09,0.27,0.9002413153648376
"Water freezes at a certain temperature, which is zero degrees Celsius.",The temperature of boiling water is 100 C and the temperature of ice is 0 C.,3.08,0.98,0.9454819560050964
"We got home safely in the end, although it was a long journey.","Though it took many hours travel, we finally reached our house safely.",3.06,0.95,0.9646511673927307
A man called Dave gave his fianc´ee a large diamond ring for their engagement.,The man presented a diamond to the woman and asked her to marry him.,3.22,0.73,0.9645345211029053
"I used to run quite a lot, in fact once I ran for North Tyneside.",I used to climb lots at school as we had a new climbing wall put in the gym.,0.74,0.75,0.9612590074539185
I love to laugh as it makes me happy as well as those around me.,I thought we bargained that it would only cost me a pound.,0.08,0.32,0.9621575474739075
Because I am the eldest one I should be more responsible.,"Just because of my age, people shouldn’t think I’m a responsible adult, but they do?",2.23,0.79,0.9726149439811707
I need to dash into the kitchen because I think my chip pan is on fire.,In the event of a chip pan fire follow the instructions on the safety note.,1.7,1.03,0.9214413166046143
"Peter was a very large youth, whose size intimidated most people, much to his delight.","Now I wouldn’t say he was fat, but I’d certainly say he was one of the larger boys.",1.96,0.95,0.9664646983146667
"I’m going to buy a grey jumper today, in half an hour.","That’s a nice grey top, where did you get it from?",1.25,0.98,0.9570412039756775
"We got soaked in the rain today, but now we are nice and dry.","I was absolutely soaking wet last night, I drove my bike through the worst weather.",1.68,0.75,0.9573222994804382
Global warming is what everyone is worrying about today.,The problem of global warming is a concern to every country in the world at the moment.,3.14,0.84,0.9349319934844971
He was harshly punished for setting the fire alarms off.,"He delayed his response, in order to create a tense atmosphere.",0.22,0.6,0.9145748615264893
"That’s not a very good car, on the other hand mine is great.",This is a terrible noise level for a new car.,1.05,0.95,0.9661917090415955
"There was a terrible accident, a pileup, on the M16 today.","It was a terrible accident, no one believed it was possible.",2.33,0.93,0.9606451988220215
After hours of getting lost we eventually arrived at the hotel.,After walking against the strong wind for hours he finally returned home safely.,1.09,0.91,0.9772319197654724
The first thing I do in a morning is make myself a cup of coffee.,The first thing I do in the morning is have a cup of coffee.,3.85,0.39,0.9935643076896667
"Someone spilt a drink accidentally on my shirt, so I changed it.","It appears to have shrunk, it wasn’t that size before I washed it.",0.48,0.72,0.9329862594604492
"I’m worried most seriously about the presentation, not the essay.",It is mostly very difficult to gain full marks in today’s exam.,0.77,0.82,0.9539541006088257
It is mostly very difficult to gain full marks in today’s exam.,"The exam was really difficult, I’ve got no idea if I’m going to pass.",2.54,0.98,0.9384331703186035
Meet me on the hill behind the church in half an hour.,Join me on the hill at the back of the church in thirty minutes time.,3.93,0.25,0.990235447883606
"If you don’t console with a friend, there is a chance you may hurt their feelings.",One of the qualities of a good friend is the ability to console.,3.01,0.85,0.9477598667144775
"We tried to bargain with him but it made no difference, he still didn’t change his mind.","I tried bargaining with him, but he just wouldn’t listen.",3.43,0.54,0.9731289744377136
It gives me great pleasure to announce the winner of this year’s beauty pageant.,It’s a real pleasure to tell you who has won our annual beauty parade.,3.88,0.24,0.9744516611099243
They said they were hoping to go to America on holiday.,"I like to cover myself up in lots of layers, I don’t like the cold.",0.16,0.5,0.9247454404830933
Will I have to drive far to get to the nearest petrol station?,Is it much farther for me to drive to the next gas station?,3.84,0.37,0.9844681620597839
