S1,S2,human_sim,std,sim
Would you like to go out to drink with me tonight?,I really don’t know what to eat tonight so I might go out somewhere.,1.01,0.77,0.4614925109080293
I advise you to treat this matter very seriously as it is vital.,"You must take this most seriously, it will affect you.",3.38,0.69,0.13089805360455206
When I was going out to meet my friends there was a delay at the train station.,The train operator announced to the passengers that the train would be delayed.,3.13,0.68,0.49605738713861003
"Does music help you to relax, or does it distract you too much?",Does this sponge look wet or dry to you?,0.1,0.29,0.27934538577991674
You must realise that you will definitely be punished if you play with the alarm.,He will be harshly punished for setting the fire alarm off.,2.84,0.87,0.33659323029513855
I will make you laugh so much that your sides ache.,When I tell you this you will split your sides laughing.,3.75,0.38,0.37912195974179197
You shouldn’t be covering what you really feel.,"There is no point in covering up what you said, we all know.",2.21,0.97,0.2070242335554024
Do you want to come with us to the pub behind the hill?,We are going out for drinks tonight in Salford Quays if you would like to come.,1.82,1.09,0.33787565799820696
"This key doesn’t seem to be working, could you give me another?","I dislike the word quay, it confuses me, I always think of things for locks, there’s another one.",0.72,0.87,0.28807172006018
The ghost appeared from nowhere and frightened the old man.,"The ghost of Queen Victoria appears to me every night, I don’t know why, I don’t even like the royals.",1.45,0.75,0.2926696048807164
You’re not a good friend if you’re not prepared to be present when I need you.,A good friend always seems to be present when you need them.,3.14,0.94,0.6661825472247802
The children crossed the road very safely thanks to the help of the lollipop lady.,"It was feared that the child might not recover, because he was seriously ill.",0.13,0.29,0.2618214167595125
I have invited a variety of people to my party so it should be interesting.,A number of invitations were given out to a variety of people inviting them down the pub.,2.18,0.88,0.4987236532771606
"I offer my condolences to the parents of John Smith, who was unfortunately murdered.",I express my sympathy to John Smith’s parents following his murder.,3.91,0.23,0.5351097603641277
Boats come in all shapes and sizes but they all do the same thing.,"Chairs can be comfy and not comfy, depending on the chair.",0.5,0.69,0.1436078493646057
"If you continuously use these products, I guarantee you will look very young.","I assure you that, by using these products consistently over a long period of time, you will appear really young.",3.58,0.57,0.409823642168755
We ran farther than the other children that day.,You ran farther than anyone today.,2.43,1.06,0.2013412142558558
I always like to have a slice of lemon in my drink especially if it’s Coke.,"I like to put a wedge of lemon in my drinks, especially cola.",3.81,0.55,0.5958632226719955
"It seems like I’ve got eczema on my ear doctor, can you recommend something for me?",I had to go to a chemist for a special rash cream for my ear.,2.05,0.9,0.3008161726074946
"I am proud of our nation, well, most of it.",I think of myself as being part of a nation.,1.71,1.03,0.4454656622977744
There was a heap of rubble left by the builders outside my house this morning.,"Sometimes in a large crowd accidents may happen, which can cause deadly injuries.",0.09,0.27,0.28582101530559134
"Water freezes at a certain temperature, which is zero degrees Celsius.",The temperature of boiling water is 100 C and the temperature of ice is 0 C.,3.08,0.98,0.6911108750350896
"We got home safely in the end, although it was a long journey.","Though it took many hours travel, we finally reached our house safely.",3.06,0.95,0.2901175459910904
A man called Dave gave his fianc´ee a large diamond ring for their engagement.,The man presented a diamond to the woman and asked her to marry him.,3.22,0.73,0.4119442943360553
"I used to run quite a lot, in fact once I ran for North Tyneside.",I used to climb lots at school as we had a new climbing wall put in the gym.,0.74,0.75,0.34340358953100025
I love to laugh as it makes me happy as well as those around me.,I thought we bargained that it would only cost me a pound.,0.08,0.32,0.26821864060780326
Because I am the eldest one I should be more responsible.,"Just because of my age, people shouldn’t think I’m a responsible adult, but they do?",2.23,0.79,0.17536831089193333
I need to dash into the kitchen because I think my chip pan is on fire.,In the event of a chip pan fire follow the instructions on the safety note.,1.7,1.03,0.6481832477213079
"Peter was a very large youth, whose size intimidated most people, much to his delight.","Now I wouldn’t say he was fat, but I’d certainly say he was one of the larger boys.",1.96,0.95,0.24084304187849118
"I’m going to buy a grey jumper today, in half an hour.","That’s a nice grey top, where did you get it from?",1.25,0.98,0.40829463470131183
"We got soaked in the rain today, but now we are nice and dry.","I was absolutely soaking wet last night, I drove my bike through the worst weather.",1.68,0.75,0.23056220634885474
Global warming is what everyone is worrying about today.,The problem of global warming is a concern to every country in the world at the moment.,3.14,0.84,0.3229479298235585
He was harshly punished for setting the fire alarms off.,"He delayed his response, in order to create a tense atmosphere.",0.22,0.6,0.22245624771370742
"That’s not a very good car, on the other hand mine is great.",This is a terrible noise level for a new car.,1.05,0.95,0.47761740321076995
"There was a terrible accident, a pileup, on the M16 today.","It was a terrible accident, no one believed it was possible.",2.33,0.93,0.35269970732643957
After hours of getting lost we eventually arrived at the hotel.,After walking against the strong wind for hours he finally returned home safely.,1.09,0.91,0.2936654128911691
The first thing I do in a morning is make myself a cup of coffee.,The first thing I do in the morning is have a cup of coffee.,3.85,0.39,0.947257401707975
"Someone spilt a drink accidentally on my shirt, so I changed it.","It appears to have shrunk, it wasn’t that size before I washed it.",0.48,0.72,0.06289542617660221
"I’m worried most seriously about the presentation, not the essay.",It is mostly very difficult to gain full marks in today’s exam.,0.77,0.82,0.18586574195128813
It is mostly very difficult to gain full marks in today’s exam.,"The exam was really difficult, I’ve got no idea if I’m going to pass.",2.54,0.98,0.2937636511871556
Meet me on the hill behind the church in half an hour.,Join me on the hill at the back of the church in thirty minutes time.,3.93,0.25,0.6903302524781553
"If you don’t console with a friend, there is a chance you may hurt their feelings.",One of the qualities of a good friend is the ability to console.,3.01,0.85,0.5746012574597902
"We tried to bargain with him but it made no difference, he still didn’t change his mind.","I tried bargaining with him, but he just wouldn’t listen.",3.43,0.54,0.055144444257711964
It gives me great pleasure to announce the winner of this year’s beauty pageant.,It’s a real pleasure to tell you who has won our annual beauty parade.,3.88,0.24,0.4898596211177184
They said they were hoping to go to America on holiday.,"I like to cover myself up in lots of layers, I don’t like the cold.",0.16,0.5,0.18008902098512758
Will I have to drive far to get to the nearest petrol station?,Is it much farther for me to drive to the next gas station?,3.84,0.37,0.5668188570348636
I think I know her from somewhere because she has a familiar face.,"You have a very familiar face, where do I know you from?",3.36,0.8,0.8583208209847755
I am sorry but I can’t go out as I have a heap of work to do.,I’ve a heap of things to finish so I can’t go out I’m afraid.,3.6,0.72,0.5841781894062561
The responsible man felt very guilty when he crashed into the back of someone’s car.,A slow driver can be annoying even though they are driving safely.,0.88,0.75,0.2265076000536202
Get that wet dog off my brand new white sofa.,Make that wet hound get off my white couch – I only just bought it.,3.59,0.86,0.8569103063827609
He fought in the war in Iraq before being killed in a car crash.,The prejudice I suffered whilst on holiday in Iraq was quite alarming.,0.55,0.65,0.04272334881223222
The cat was hungry so he went into the back garden to find lunch.,The hen walked about in the yard eating tasty grain.,1.2,0.82,0.25332330003629916
My bedroom wall is lemon coloured but my mother says it is yellow.,"Roses can be different colours, it has to be said red is the best though.",0.68,0.77,0.3191281360914048
Would you like to drink this wine with your meal?,Will you drink a glass of wine while you eat?,3.56,0.65,0.6296405764889911
"Roses can be different colours, it has to be said red is the best though.","Roses come in many varieties and colours, but yellow is my favourite.",2.83,0.9,0.5439294839997175
Flies can also carry a lot of disease and cause maggots.,I dry my hair after I wash it or I will get ill.,0.12,0.28,0.27839077390033506
Could you climb up the tree and save my cat from jumping please?,Can you get up that tree and rescue my cat otherwise it might jump?,3.83,0.34,0.595492995671044
"The pleasure that I get from studying, is that I learn new things.","I have a doubt about this exam, we never got to study for it.",0.74,0.76,0.22347144578612668
The perpetrators of war crimes are rotten to the core.,"There are many global issues that everybody should be aware of, such as the threat of terrorism.",0.95,0.91,0.2737096444474447
The damp was mostly in the very corner of the room.,The young lady was somewhat partially burnt from the sun.,0.11,0.31,0.12509125852007213
We often ran to school because we were always late.,I knew I was late for my class so I ran all the way to school.,3.1,0.85,0.25559358196245835
"I hope you’re taking this seriously, if not you can get out of here.",The difficult course meant that only the strong would survive.,0.5,0.87,0.23451029499798648
"I bought a new guitar today, do you like it?",The weapon choice reflects the personality of the carrier.,0.16,0.34,0.19410020194823044
I am so hungry I could eat a whole horse plus dessert.,"I could have eaten another meal, I’m still starving.",3.06,0.85,0.23072462370781793
