S1,S2,human_sim,std,sim
Would you like to go out to drink with me tonight?,I really don’t know what to eat tonight so I might go out somewhere.,1.01,0.77,0.5777568922305765
I advise you to treat this matter very seriously as it is vital.,"You must take this most seriously, it will affect you.",3.38,0.69,0.3082720588235294
When I was going out to meet my friends there was a delay at the train station.,The train operator announced to the passengers that the train would be delayed.,3.13,0.68,0.63828197945845
"Does music help you to relax, or does it distract you too much?",Does this sponge look wet or dry to you?,0.1,0.29,0.49293546365914787
You must realise that you will definitely be punished if you play with the alarm.,He will be harshly punished for setting the fire alarm off.,2.84,0.87,0.4303418803418803
I will make you laugh so much that your sides ache.,When I tell you this you will split your sides laughing.,3.75,0.38,0.5367948717948718
You shouldn’t be covering what you really feel.,"There is no point in covering up what you said, we all know.",2.21,0.97,0.35574229691876746
Do you want to come with us to the pub behind the hill?,We are going out for drinks tonight in Salford Quays if you would like to come.,1.82,1.09,0.5413881010630237
"This key doesn’t seem to be working, could you give me another?","I dislike the word quay, it confuses me, I always think of things for locks, there’s another one.",0.72,0.87,0.4580686148217108
The ghost appeared from nowhere and frightened the old man.,"The ghost of Queen Victoria appears to me every night, I don’t know why, I don’t even like the royals.",1.45,0.75,0.42719169719169714
You’re not a good friend if you’re not prepared to be present when I need you.,A good friend always seems to be present when you need them.,3.14,0.94,0.6966666666666667
The children crossed the road very safely thanks to the help of the lollipop lady.,"It was feared that the child might not recover, because he was seriously ill.",0.13,0.29,0.37424585218702866
I have invited a variety of people to my party so it should be interesting.,A number of invitations were given out to a variety of people inviting them down the pub.,2.18,0.88,0.6102010682815636
"I offer my condolences to the parents of John Smith, who was unfortunately murdered.",I express my sympathy to John Smith’s parents following his murder.,3.91,0.23,0.6614601981143334
Boats come in all shapes and sizes but they all do the same thing.,"Chairs can be comfy and not comfy, depending on the chair.",0.5,0.69,0.3561753648827952
"If you continuously use these products, I guarantee you will look very young.","I assure you that, by using these products consistently over a long period of time, you will appear really young.",3.58,0.57,0.5260648148148148
We ran farther than the other children that day.,You ran farther than anyone today.,2.43,1.06,0.25
I always like to have a slice of lemon in my drink especially if it’s Coke.,"I like to put a wedge of lemon in my drinks, especially cola.",3.81,0.55,0.6726588071125886
"It seems like I’ve got eczema on my ear doctor, can you recommend something for me?",I had to go to a chemist for a special rash cream for my ear.,2.05,0.9,0.4864248839632471
"I am proud of our nation, well, most of it.",I think of myself as being part of a nation.,1.71,1.03,0.5595959595959596
There was a heap of rubble left by the builders outside my house this morning.,"Sometimes in a large crowd accidents may happen, which can cause deadly injuries.",0.09,0.27,0.5088809416540508
"Water freezes at a certain temperature, which is zero degrees Celsius.",The temperature of boiling water is 100 C and the temperature of ice is 0 C.,3.08,0.98,0.7801923076923076
"We got home safely in the end, although it was a long journey.","Though it took many hours travel, we finally reached our house safely.",3.06,0.95,0.3355632671422145
A man called Dave gave his fianc´ee a large diamond ring for their engagement.,The man presented a diamond to the woman and asked her to marry him.,3.22,0.73,0.4704219699575737
"I used to run quite a lot, in fact once I ran for North Tyneside.",I used to climb lots at school as we had a new climbing wall put in the gym.,0.74,0.75,0.4717482363315697
I love to laugh as it makes me happy as well as those around me.,I thought we bargained that it would only cost me a pound.,0.08,0.32,0.47150327742433007
Because I am the eldest one I should be more responsible.,"Just because of my age, people shouldn’t think I’m a responsible adult, but they do?",2.23,0.79,0.32539682539682535
I need to dash into the kitchen because I think my chip pan is on fire.,In the event of a chip pan fire follow the instructions on the safety note.,1.7,1.03,0.782546768707483
"Peter was a very large youth, whose size intimidated most people, much to his delight.","Now I wouldn’t say he was fat, but I’d certainly say he was one of the larger boys.",1.96,0.95,0.440396790029143
"I’m going to buy a grey jumper today, in half an hour.","That’s a nice grey top, where did you get it from?",1.25,0.98,0.6233888292158969
"We got soaked in the rain today, but now we are nice and dry.","I was absolutely soaking wet last night, I drove my bike through the worst weather.",1.68,0.75,0.40355214607693635
Global warming is what everyone is worrying about today.,The problem of global warming is a concern to every country in the world at the moment.,3.14,0.84,0.43863036473330597
He was harshly punished for setting the fire alarms off.,"He delayed his response, in order to create a tense atmosphere.",0.22,0.6,0.388760055304173
"That’s not a very good car, on the other hand mine is great.",This is a terrible noise level for a new car.,1.05,0.95,0.6416533758639023
"There was a terrible accident, a pileup, on the M16 today.","It was a terrible accident, no one believed it was possible.",2.33,0.93,0.4666666666666667
After hours of getting lost we eventually arrived at the hotel.,After walking against the strong wind for hours he finally returned home safely.,1.09,0.91,0.42708333333333337
The first thing I do in a morning is make myself a cup of coffee.,The first thing I do in the morning is have a cup of coffee.,3.85,0.39,0.9780701754385965
"Someone spilt a drink accidentally on my shirt, so I changed it.","It appears to have shrunk, it wasn’t that size before I washed it.",0.48,0.72,0.1454248366013072
"I’m worried most seriously about the presentation, not the essay.",It is mostly very difficult to gain full marks in today’s exam.,0.77,0.82,0.35677655677655673
It is mostly very difficult to gain full marks in today’s exam.,"The exam was really difficult, I’ve got no idea if I’m going to pass.",2.54,0.98,0.42865864294435724
Meet me on the hill behind the church in half an hour.,Join me on the hill at the back of the church in thirty minutes time.,3.93,0.25,0.822093223254214
"If you don’t console with a friend, there is a chance you may hurt their feelings.",One of the qualities of a good friend is the ability to console.,3.01,0.85,0.7735060690943043
"We tried to bargain with him but it made no difference, he still didn’t change his mind.","I tried bargaining with him, but he just wouldn’t listen.",3.43,0.54,0.18205128205128207
It gives me great pleasure to announce the winner of this year’s beauty pageant.,It’s a real pleasure to tell you who has won our annual beauty parade.,3.88,0.24,0.649272561588738
They said they were hoping to go to America on holiday.,"I like to cover myself up in lots of layers, I don’t like the cold.",0.16,0.5,0.3748015873015873
Will I have to drive far to get to the nearest petrol station?,Is it much farther for me to drive to the next gas station?,3.84,0.37,0.5920745920745921
I think I know her from somewhere because she has a familiar face.,"You have a very familiar face, where do I know you from?",3.36,0.8,0.9238095238095239
I am sorry but I can’t go out as I have a heap of work to do.,I’ve a heap of things to finish so I can’t go out I’m afraid.,3.6,0.72,0.6773809523809524
The responsible man felt very guilty when he crashed into the back of someone’s car.,A slow driver can be annoying even though they are driving safely.,0.88,0.75,0.37605188606543094
Get that wet dog off my brand new white sofa.,Make that wet hound get off my white couch – I only just bought it.,3.59,0.86,0.8571428571428571
He fought in the war in Iraq before being killed in a car crash.,The prejudice I suffered whilst on holiday in Iraq was quite alarming.,0.55,0.65,0.1298719487795118
The cat was hungry so he went into the back garden to find lunch.,The hen walked about in the yard eating tasty grain.,1.2,0.82,0.45352740826425036
My bedroom wall is lemon coloured but my mother says it is yellow.,"Roses can be different colours, it has to be said red is the best though.",0.68,0.77,0.499790107430532
Would you like to drink this wine with your meal?,Will you drink a glass of wine while you eat?,3.56,0.65,0.729090354090354
"Roses can be different colours, it has to be said red is the best though.","Roses come in many varieties and colours, but yellow is my favourite.",2.83,0.9,0.6173190328763085
Flies can also carry a lot of disease and cause maggots.,I dry my hair after I wash it or I will get ill.,0.12,0.28,0.6009125969228271
Could you climb up the tree and save my cat from jumping please?,Can you get up that tree and rescue my cat otherwise it might jump?,3.83,0.34,0.7201848186320237
"The pleasure that I get from studying, is that I learn new things.","I have a doubt about this exam, we never got to study for it.",0.74,0.76,0.4309265811587793
The perpetrators of war crimes are rotten to the core.,"There are many global issues that everybody should be aware of, such as the threat of terrorism.",0.95,0.91,0.4284829721362229
The damp was mostly in the very corner of the room.,The young lady was somewhat partially burnt from the sun.,0.11,0.31,0.2957327802916038
We often ran to school because we were always late.,I knew I was late for my class so I ran all the way to school.,3.1,0.85,0.2984126984126984
"I hope you’re taking this seriously, if not you can get out of here.",The difficult course meant that only the strong would survive.,0.5,0.87,0.3488095238095238
"I bought a new guitar today, do you like it?",The weapon choice reflects the personality of the carrier.,0.16,0.34,0.41625730994152044
I am so hungry I could eat a whole horse plus dessert.,"I could have eaten another meal, I’m still starving.",3.06,0.85,0.4247031039136302
